Target Beam Information
Target Mass Number (A),238
Target Charge State (q),35
Target A/q Ratio,6.800000
Tolerance (%),1.00
A/q Range Min,6.732000
A/q Range Max,6.868000
Number of Contaminants Found,24

Contaminant Data
Species,Isotope,Mass Number (A),Mass (amu),Charge State (q),A/q Ratio,Relative Difference (%),Absolute Difference,Natural Abundance (%)
Hg,Hg-204,204,203.973476,30,6.799116,0.013002,0.000884,6.8700
U,U-238,238,238.050783,35,6.801451,0.021337,0.001451,99.2745
Xe,Xe-136,136,135.907220,20,6.795361,0.068221,0.004639,8.8700
Ag,Ag-109,109,108.904756,16,6.806547,0.096283,0.006547,48.1610
Zn,Zn-68,68,67.924848,10,6.792485,0.110518,0.007515,18.7500
W,W-184,184,183.950933,27,6.812998,0.191140,0.012998,30.6400
Xe,Xe-129,129,128.904779,19,6.784462,0.228499,0.015538,26.4400
Pt,Pt-190,190,189.959932,28,6.784283,0.231128,0.015717,0.0140
W,W-183,183,182.950224,27,6.775934,0.353908,0.024066,14.3100
Kr,Kr-82,82,81.913485,12,6.826124,0.384173,0.026124,11.5800
Se,Se-82,82,81.916700,12,6.826392,0.388113,0.026392,8.7300
Hg,Hg-198,198,197.966752,29,6.826440,0.388819,0.026440,9.9700
Pt,Pt-198,198,197.967876,29,6.826478,0.389389,0.026478,7.1630
Ni,Ni-61,61,60.931060,9,6.770118,0.439444,0.029882,1.1399
Xe,Xe-130,130,129.903508,19,6.837027,0.544511,0.037027,4.0800
Hg,Hg-196,196,195.965815,29,6.757442,0.625854,0.042558,0.1500
Pt,Pt-196,196,195.964935,29,6.757412,0.626301,0.042588,25.2420
Tm,Tm-169,169,168.934211,25,6.757368,0.626935,0.042632,100.0000
Ca,Ca-48,48,47.952534,7,6.850362,0.740618,0.050362,0.1870
Pt,Pt-192,192,191.961035,28,6.855751,0.819871,0.055751,0.7820
Bi,Bi-209,209,208.980383,31,6.741303,0.863196,0.058697,100.0000
Hg,Hg-199,199,198.968262,29,6.860975,0.896685,0.060975,16.8700
W,W-182,182,181.948206,27,6.738822,0.899670,0.061178,26.5000
Hg,Hg-202,202,201.970626,30,6.732354,0.994791,0.067646,29.8600
